,col1,col2,col3,col4,ans
509,5124,91173,1061215,130148,24
510,5124,91173,1001215,136148,25
511,5124,91173,1012015,136148,26
512,5124,91103,1012715,136148,27
513,5124,90113,1012715,136148,28
514,5124,9113,1012715,136148,29
515,5124,109113,12715,136148,30
516,5124,109113,1312715,6148,31
517,5124,109113,1312715,60148,32
518,5124,109113,130715,612148,33
519,5124,109113,137015,612148,34
520,5124,10903,1371115,612148,35
521,5104,10923,1371115,612148,36
522,5140,10923,1371115,612148,37
523,5143,10920,1371115,612148,38
524,1234,5678,9101112,1314150,0
525,1234,5678,910110,13141512,1
526,1234,5670,910118,13141512,2
527,1234,5607,910118,13141512,3
528,1204,5637,910118,13141512,4
529,1024,5637,910118,13141512,5
530,1624,5037,910118,13141512,6
531,1624,537,910118,13141512,7
532,1624,9537,10118,13141512,8
533,1624,9537,100118,13141512,9
534,1624,9537,101108,13141512,10
535,1624,9537,101180,13141512,11
536,1624,9530,101187,13141512,12
537,1624,9503,101187,13141512,13
538,1604,9523,101187,13141512,14
539,1640,9523,101187,13141512,15
540,1643,9520,101187,13141512,16
541,1643,9502,101187,13141512,17
542,1643,9052,101187,13141512,18
543,1643,952,101187,13141512,19
544,1643,10952,1187,13141512,20
545,1643,10952,131187,141512,21
546,1643,10952,131187,1401512,22
547,1643,10952,13087,14111512,23
548,1643,10952,1387,14111512,24
549,1643,952,101387,14111512,25
550,643,1952,101387,14111512,26
551,6043,1952,101387,14111512,27
552,6403,1952,101387,14111512,28
553,1234,5678,9101112,1314150,0
554,1234,5678,910110,13141512,1
555,1234,5670,910118,13141512,2
556,1234,5607,910118,13141512,3
557,1234,5067,910118,13141512,4
558,1034,5267,910118,13141512,5
559,134,5267,910118,13141512,6
560,5134,267,910118,13141512,7
561,5134,9267,10118,13141512,8
562,5134,9267,100118,13141512,9
563,5134,9067,102118,13141512,10
564,5134,9607,102118,13141512,11
565,5134,9670,102118,13141512,12
566,5130,9674,102118,13141512,13
567,5103,9674,102118,13141512,14
568,5013,9674,102118,13141512,15
569,5613,9074,102118,13141512,16
570,5613,9704,102118,13141512,17
571,5613,9740,102118,13141512,18
572,5610,9743,102118,13141512,19
573,5601,9743,102118,13141512,20
574,5641,9703,102118,13141512,21
575,5641,9073,102118,13141512,22
576,1234,5678,9101112,1314150,0
577,1234,5678,910110,13141512,1
578,1234,5670,910118,13141512,2
579,1234,5607,910118,13141512,3
580,1234,5067,910118,13141512,4
581,1234,51067,90118,13141512,5
582,1234,51067,9118,13141512,6
583,1234,51067,139118,141512,7
584,1234,51067,139118,1401512,8
585,1234,51067,139118,1415012,9
586,1234,51067,13908,14151112,10
587,1234,51067,13098,14151112,11
588,1234,51067,131598,1401112,12
589,1234,51067,131598,141112,13
590,1234,51067,1598,13141112,14
591,1234,51067,15098,13141112,15
592,1234,51067,151498,1301112,16
593,1234,51067,151498,1311012,17
594,1234,51067,151498,1311120,18
595,1234,5678,9101112,1314150,0
596,1234,5678,9101112,1314015,1
597,1234,5678,9101112,1301415,2
598,1234,5678,901112,13101415,3
599,1234,5678,91112,13101415,4
600,1234,678,591112,13101415,5
601,1234,6078,591112,13101415,6
602,1234,6708,591112,13101415,7
603,1234,6780,591112,13101415,8
604,1234,67812,59110,13101415,9
605,1234,67812,591115,1310140,10
606,1234,67812,591115,1310014,11
607,1234,67812,591115,1301014,12
608,1234,67812,501115,1391014,13
609,1234,60812,571115,1391014,14
610,1234,6812,571115,1391014,15
611,1234,56812,71115,1391014,16
612,1234,56812,701115,1391014,17
613,1234,56812,711015,1391014,18
614,1234,56012,711815,1391014,19
615,1234,56120,711815,1391014,20
616,1230,56124,711815,1391014,21
617,1203,56124,711815,1391014,22
618,1023,56124,711815,1391014,23
619,1623,50124,711815,1391014,24
620,1623,51204,711815,1391014,25
621,1623,51284,711015,1391014,26
622,1234,5678,9101112,1314150,0
623,1234,5678,910110,13141512,1
624,1234,5670,910118,13141512,2
625,1234,5607,910118,13141512,3
626,1234,56117,91008,13141512,4
627,1234,56117,910158,1314012,5
628,1234,56117,910158,1301412,6
629,1234,56117,90158,13101412,7
630,1234,56117,91508,13101412,8
631,1234,56117,91580,13101412,9
632,1234,56117,915812,1310140,10
633,1234,56117,915812,1310014,11
634,1234,56117,915812,1301014,12
635,1234,56117,90812,13151014,13
636,1234,56117,9812,13151014,14
637,1234,56117,139812,151014,15
638,1234,56117,139812,1501014,16
639,1234,56117,130812,1591014,17
640,1234,50117,136812,1591014,18
641,1234,5117,136812,1591014,19
642,234,15117,136812,1591014,20
643,2034,15117,136812,1591014,21
644,2304,15117,136812,1591014,22
645,2340,15117,136812,1591014,23
646,2347,15110,136812,1591014,24
647,2347,151112,13680,1591014,25
648,2347,151112,136814,159100,26
649,1234,5678,9101112,1314150,0
650,1234,5678,910110,13141512,1
651,1234,5670,910118,13141512,2
652,1234,5607,910118,13141512,3
653,1234,56117,91008,13141512,4
654,1234,56117,90108,13141512,5
655,1234,56117,9108,13141512,6
656,1234,6117,59108,13141512,7
657,1234,60117,59108,13141512,8
658,1234,69117,50108,13141512,9
659,1234,69117,51008,13141512,10
660,1234,69117,51080,13141512,11
661,1234,69110,51087,13141512,12
662,1230,69114,51087,13141512,13
663,1203,69114,51087,13141512,14
664,12113,6904,51087,13141512,15
665,12113,6094,51087,13141512,16
666,12113,61094,5087,13141512,17
667,12113,61094,587,13141512,18
668,12113,1094,6587,13141512,19
669,2113,11094,6587,13141512,20
670,20113,11094,6587,13141512,21
671,21103,11094,6587,13141512,22
672,21193,11004,6587,13141512,23
673,21193,11084,6507,13141512,24
674,21193,11084,65157,1314012,25
675,21193,11084,65157,1301412,26
676,1234,5678,9101112,1314150,0
677,1234,5678,9101112,1314015,1
678,1234,5678,9101112,1301415,2
679,1234,5678,901112,13101415,3
680,1234,5678,91112,13101415,4
681,1234,5678,1391112,101415,5
682,1234,5678,1391112,1001415,6
683,1234,5678,1301112,1091415,7
684,1234,5078,1361112,1091415,8
685,1034,5278,1361112,1091415,9
686,1304,5278,1361112,1091415,10
687,1340,5278,1361112,1091415,11
688,1348,5270,1361112,1091415,12
689,1348,5207,1361112,1091415,13
690,1348,5027,1361112,1091415,14
691,1048,5327,1361112,1091415,15
692,1408,5327,1361112,1091415,16
693,1480,5327,1361112,1091415,17
694,1487,5320,1361112,1091415,18
695,1487,53212,136110,1091415,19
696,1487,53212,1361115,109140,20
697,1487,53212,1361115,109014,21
698,1487,53212,136015,1091114,22
699,1487,53012,136215,1091114,23
700,1407,53812,136215,1091114,24
701,1470,53812,136215,1091114,25
702,14712,5380,136215,1091114,26
703,14712,5308,136215,1091114,27
704,14712,5328,136015,1091114,28
705,14712,5328,136150,1091114,29
706,14712,5320,136158,1091114,30
707,14712,5302,136158,1091114,31
708,14712,5032,136158,1091114,32
709,1234,5678,9101112,1314150,0
710,1234,5678,9101112,1314015,1
711,1234,5678,910012,13141115,2
712,1234,5678,901012,13141115,3
713,1234,5678,91012,13141115,4
714,1234,5678,1391012,141115,5
715,1234,5678,1391012,1401115,6
716,1234,5678,1301012,1491115,7
717,1234,5078,1361012,1491115,8
718,1234,5708,1361012,1491115,9
719,1204,5738,1361012,1491115,10
720,1024,5738,1361012,1491115,11
721,1724,5038,1361012,1491115,12
722,1724,5638,1301012,1491115,13
723,1724,5638,1310012,1491115,14
724,1724,5608,1310312,1491115,15
725,1724,5068,1310312,1491115,16
726,1724,51068,130312,1491115,17
727,1724,51068,133012,1491115,18
728,1724,51068,133120,1491115,19
729,1724,51060,133128,1491115,20
730,1720,51064,133128,1491115,21
731,1702,51064,133128,1491115,22
732,1762,51004,133128,1491115,23
733,1762,510124,13308,1491115,24
734,1762,510124,13038,1491115,25
735,1762,510124,1338,1491115,26
736,1234,5678,9101112,1314150,0
737,1234,5678,9101112,1314015,1
738,1234,5678,9101112,1301415,2
739,1234,5678,901112,13101415,3
740,1234,5078,961112,13101415,4
741,1234,5708,961112,13101415,5
742,1234,5780,961112,13101415,6
743,1230,5784,961112,13101415,7
744,1203,5784,961112,13101415,8
745,1283,5704,961112,13101415,9
746,1283,57114,96012,13101415,10
747,1283,57114,961412,1310015,11
748,1283,57114,961412,1301015,12
749,1283,57114,961412,131015,13
750,1283,57114,61412,9131015,14
751,1283,57114,601412,9131015,15
752,1283,57114,614012,9131015,16
753,1283,57114,614120,9131015,17
754,1283,57110,614124,9131015,18
755,1280,57113,614124,9131015,19
756,1208,57113,614124,9131015,20
757,12118,5703,614124,9131015,21
758,12118,5730,614124,9131015,22
759,1234,5678,9101112,1314150,0
760,1234,5678,9101112,1314015,1
761,1234,5678,9101112,1301415,2
762,1234,5678,901112,13101415,3
763,1234,5078,961112,13101415,4
764,1234,5708,961112,13101415,5
765,1234,57118,96012,13101415,6
766,1234,57118,96120,13101415,7
767,1234,57110,96128,13101415,8
768,1230,57114,96128,13101415,9
769,1203,57114,96128,13101415,10
770,1023,57114,96128,13101415,11
771,1723,50114,96128,13101415,12
772,1723,51104,96128,13101415,13
773,1723,51140,96128,13101415,14
774,1720,51143,96128,13101415,15
775,1702,51143,96128,13101415,16
776,1742,51103,96128,13101415,17
777,1742,51130,96128,13101415,18
778,1742,51138,96120,13101415,19
779,1742,51138,961215,1310140,20
780,1742,51138,961215,1310014,21
781,1742,51138,961215,1301014,22
782,1742,51138,901215,1361014,23
783,1742,51138,91215,1361014,24
784,1742,51138,1391215,61014,25
785,1742,51138,1391215,601014,26
786,1742,51138,1301215,691014,27
787,1742,51138,1312015,691014,28
788,1742,51138,1312150,691014,29
789,1742,51138,13121514,69100,30
790,1742,51138,13121514,69010,31
791,1742,51138,13121514,60910,32
792,1742,51138,1301514,612910,33
793,1742,51138,1315014,612910,34
794,1742,51138,1315140,612910,35
795,1742,51138,13151410,61290,36
796,1234,5678,9101112,1314150,0
797,1234,5678,910110,13141512,1
798,1234,5670,910118,13141512,2
799,1230,5674,910118,13141512,3
800,1203,5674,910118,13141512,4
801,1023,5674,910118,13141512,5
802,1623,5074,910118,13141512,6
803,1623,51074,90118,13141512,7
804,1623,51074,9118,13141512,8
805,1623,1074,59118,13141512,9
806,623,11074,59118,13141512,10
807,6023,11074,59118,13141512,11
808,6203,11074,59118,13141512,12
809,6273,11004,59118,13141512,13
810,6273,110114,5908,13141512,14
811,6273,110114,59158,1314012,15
812,6273,110114,59158,1301412,16
813,6273,110114,50158,1391412,17
814,6273,10114,510158,1391412,18
815,6273,11104,510158,1391412,19
816,6273,111154,51008,1391412,20
817,6273,111154,50108,1391412,21
