,col1,ans
670,6132130945101281471115,30
671,6032131945101281471115,31
672,6302131945101281471115,32
673,6392131045101281471115,33
674,6392130145101281471115,34
675,1234567891011121314150,0
676,1234567891011121314015,1
677,1234567891001213141115,2
678,1234567890101213141115,3
679,1234507896101213141115,4
680,1234570896101213141115,5
681,1234578096101213141115,6
682,1234578129610013141115,7
683,1234578129610151314110,8
684,1234578129610151314011,9
685,1234578129601513141011,10
686,1234570129681513141011,11
687,1234507129681513141011,12
688,1234567129081513141011,13
689,1234567129801513141011,14
690,1234560129871513141011,15
691,1204563129871513141011,16
692,1024563129871513141011,17
693,1624503129871513141011,18
694,1624530129871513141011,19
695,1604532129871513141011,20
696,1640532129871513141011,21
697,1641253209871513141011,22
698,1641253029871513141011,23
699,1601253429871513141011,24
700,1061253429871513141011,25
701,161253429871513141011,26
702,5161203429871513141011,27
703,5161293420871513141011,28
704,5161293428071513141011,29
705,5161290428371513141011,30
706,5061291428371513141011,31
707,561291428371513141011,32
708,9561201428371513141011,33
709,9561281420371513141011,34
710,9561281421337150141011,35
711,9561281421337151401011,36
712,9561281421307151431011,37
713,9561281421370151431011,38
714,9561281421371501431011,39
715,9561281401371521431011,40
716,9560814121371521431011,41
717,9506814121371521431011,42
718,1234567891011121314150,0
719,1234567891011013141512,1
720,1234567091011813141512,2
721,1234560791011813141512,3
722,1234561179100813141512,4
723,1234561179108013141512,5
724,1234561179108121314150,6
725,1234561179108121314015,7
726,1234561179108121301415,8
727,1234561179081213101415,9
728,1234501179681213101415,10
729,1034521179681213101415,11
730,1304521179681213101415,12
731,1311452079681213101415,13
732,1311450279681213101415,14
733,1311405279681213101415,15
734,311415279681213101415,16
735,3011415279681213101415,17
736,3511410279681213101415,18
737,3511412079681213101415,19
738,3511412709681213101415,20
739,1234567891011121314150,0
740,1234567891011121314015,1
741,1234567891011121301415,2
742,1234567890111213101415,3
743,1234507896111213101415,4
744,1034527896111213101415,5
745,1304527896111213101415,6
746,1374520896111213101415,7
747,1374521189601213101415,8
748,1374521189614121310015,9
749,1374521189614121301015,10
750,1374521189614120131015,11
751,1374521180614129131015,12
752,1374521186014129131015,13
753,1374501186214129131015,14
754,1374511086214129131015,15
755,1374511148620129131015,16
756,1374511148621209131015,17
757,1374511140621289131015,18
758,1370511144621289131015,19
759,1307511144621289131015,20
760,1314751104621289131015,21
761,1314751112462089131015,22
762,1314751112462108913015,23
763,1314751112462108913150,24
764,1314751112462100913158,25
765,1314751112462010913158,26
766,1314751112462151091308,27
767,1314751112462151090138,28
768,1314751112462151009138,29
769,1314751112402151069138,30
770,1314701112452151069138,31
771,1314711012452151069138,32
772,1234567891011121314150,0
773,1234567891011013141512,1
774,1234567891001113141512,2
775,1234567890101113141512,3
776,1234567809101113141512,4
777,1234067859101113141512,5
778,1234607859101113141512,6
779,1234697850101113141512,7
780,1234697851001113141512,8
781,1234697851011013141512,9
782,1234697051011813141512,10
783,1234690751011813141512,11
784,1234609751011813141512,12
785,1234610975011813141512,13
786,1234610975141181301512,14
787,1234610975141181315012,15
788,1234610975140813151112,16
789,1234610075149813151112,17
790,1234601075149813151112,18
791,1234061075149813151112,19
792,1234561070149813151112,20
793,1234561071409813151112,21
794,1234561071415981301112,22
795,1234561071415981311012,23
796,1234561071415981311120,24
797,1234567891011121314150,0
798,1234567891011013141512,1
799,1234567091011813141512,2
800,1234560791011813141512,3
801,1234561179100813141512,4
802,1234561179108013141512,5
803,1234561179108121314150,6
804,1234561179108121314015,7
805,1234561179108121301415,8
806,1234561179081213101415,9
807,1234561179801213101415,10
808,1234561179814121310015,11
809,1234561179814121301015,12
810,1234561179014121381015,13
811,1234501179614121381015,14
812,1234511079614121381015,15
813,1234511147960121381015,16
814,1234511147961012138015,17
815,1234511147961012138150,18
816,1234511147961001381512,19
817,1234511147960101381512,20
818,1234511147906101381512,21
819,1234511147096101381512,22
820,1234011147596101381512,23
821,1234110147596101381512,24
822,1234119147506101381512,25
823,1234119147056101381512,26
824,1234567891011121314150,0
825,1234567891011013141512,1
826,1234567891001113141512,2
827,1234560891071113141512,3
828,1234568091071113141512,4
829,1234568119107013141512,5
830,1234568119107121314150,6
831,1234568119107121314015,7
832,1234568119107121301415,8
833,1234568119071213101415,9
834,1234568119701213101415,10
835,1234568119712013101415,11
836,1234568119712151310140,12
837,1234568119712151310014,13
838,1234568119701513101214,14
839,1234560119781513101214,15
840,1204563119781513101214,16
841,1240563119781513101214,17
842,1241156309781513101214,18
843,1241156315978013101214,19
844,1241156315970813101214,20
845,1241156315907813101214,21
846,1241150315967813101214,22
847,1041152315967813101214,23
848,141152315967813101214,24
849,5141102315967813101214,25
850,5141192315067813101214,26
851,5141192315607813101214,27
852,5141192315610781301214,28
853,5141192315610780131214,29
854,5141192315010786131214,30
855,5141102315910786131214,31
856,5141120315910786131214,32
857,5041121315910786131214,33
858,5401121315910786131214,34
859,1234567891011121314150,0
860,1234567891011121314015,1
861,1234567891001213141115,2
862,1234560891071213141115,3
863,1204563891071213141115,4
864,1024563891071213141115,5
865,1624503891071213141115,6
866,1624510389071213141115,7
867,1624510389701213141115,8
868,1624510089731213141115,9
869,1624501089731213141115,10
870,1624571089031213141115,11
871,1624571089143121301115,12
872,1624571089143121311015,13
873,1624571089143121311150,14
874,1624571089143013111512,15
875,1624571089140313111512,16
876,1624571089014313111512,17
877,1624571089111431301512,18
878,1624571089111431315012,19
879,1624571089111431315120,20
880,1624571089111401315123,21
881,1624571089110141315123,22
882,1624571089011141315123,23
883,1624571080911141315123,24
884,1624071085911141315123,25
885,1624701085911141315123,26
886,1624791085011141315123,27
887,1624791080511141315123,28
888,1624791081351114015123,29
889,1624791081351114150123,30
890,1624791081351114151203,31
891,1624791081351114151230,32
892,1624791081351101512314,33
893,1624791001351181512314,34
894,1620791041351181512314,35
895,1602791041351181512314,36
896,1610279041351181512314,37
897,1610279401351181512314,38
898,1234567891011121314150,0
899,1234567891011013141512,1
900,1234567891001113141512,2
901,1234567891015111314012,3
902,1234567891015111301412,4
903,1234567890151113101412,5
904,1234567891501113101412,6
905,1234560891571113101412,7
906,1204563891571113101412,8
907,1024563891571113101412,9
908,1624503891571113101412,10
909,1624053891571113101412,11
910,1624953801571113101412,12
911,1624953813157110101412,13
912,1624953813157111001412,14
913,1624953813071110151412,15
914,1624953801371110151412,16
915,1624053891371110151412,17
916,624153891371110151412,18
917,6024153891371110151412,19
918,6524103891371110151412,20
919,6524113389071110151412,21
920,6524113389701110151412,22
921,6524113389714111015012,23
922,6524113389714111001512,24
923,6524113389014111071512,25
924,6524113380914111071512,26
925,1234567891011121314150,0
926,1234567891011013141512,1
927,1234567891001113141512,2
928,1234567890101113141512,3
929,1234567809101113141512,4
930,1234067859101113141512,5
931,1234607859101113141512,6
932,1034627859101113141512,7
933,134627859101113141512,8
934,6134027859101113141512,9
935,6134527809101113141512,10
936,6134527890101113141512,11
937,6134507892101113141512,12
938,6034517892101113141512,13
939,6304517892101113141512,14
940,6340517892101113141512,15
941,6348517092101113141512,16
942,6348510792101113141512,17
943,6348511079201113141512,18
944,6348511079215111314012,19
945,6348511079215111301412,20
946,6348511079015111321412,21
947,6348501079115111321412,22
948,6348510079115111321412,23
949,6308510479115111321412,24
950,6038510479115111321412,25
951,638510479115111321412,26
952,5638010479115111321412,27
953,5638910470115111321412,28
954,5638910471311511021412,29
955,5638910471311511201412,30
956,5638910471311511214012,31
957,5638910471310112141512,32
958,5638910071314112141512,33
959,5608910371314112141512,34
960,1234567891011121314150,0
961,1234567891011121314015,1
962,1234567891001213141115,2
963,1234567890101213141115,3
964,1234567891410121301115,4
965,1234567891410121311015,5
966,1234567891410121311150,6
967,1234567891410013111512,7
968,1234567891401013111512,8
969,1234567890141013111512,9
970,1234507896141013111512,10
971,1234057896141013111512,11
972,1234957806141013111512,12
973,1234957860141013111512,13
974,1234907865141013111512,14
975,1034927865141013111512,15
976,134927865141013111512,16
977,9134027865141013111512,17
978,9134207865141013111512,18
979,9134257860141013111512,19
980,9134257806141013111512,20
981,9134057826141013111512,21
982,9134507826141013111512,22
983,9134570826141013111512,23
984,9104573826141013111512,24
985,9140573826141013111512,25
986,9148573026141013111512,26
987,9148573102614013111512,27
988,9148573102614121311150,28
989,9148573102614121311015,29
990,9148573102601213111415,30
991,9148573102061213111415,31
992,9148573102116121301415,32
993,9148573102116120131415,33
994,9148573100116122131415,34
995,1234567891011121314150,0
996,1234567891011121314015,1
997,1234567891001213141115,2
998,1234567891012013141115,3
999,1234567891012151314110,4
1000,1234567891012151314011,5
1001,1234567891012151301411,6
1002,1234567890121513101411,7
1003,1234507896121513101411,8
1004,1034527896121513101411,9
1005,134527896121513101411,10
1006,5134027896121513101411,11
1007,5134207896121513101411,12
1008,5134267890121513101411,13
1009,5134267809121513101411,14
1010,5134067829121513101411,15
1011,5134607829121513101411,16
1012,5134697820121513101411,17
1013,5134697821012151301411,18
1014,5134697821012150131411,19
1015,5134697801012152131411,20
1016,1234567891011121314150,0
1017,1234567891011121314015,1
1018,1234567891001213141115,2
1019,1234560891071213141115,3
1020,1234506891071213141115,4
1021,1234056891071213141115,5
1022,1234956801071213141115,6
1023,1234956813107120141115,7
1024,1234956813107121401115,8
1025,1234956813071214101115,9
1026,1234956801371214101115,10
1027,1234956814137120101115,11
1028,1234956814137121001115,12
1029,1234956814137121011015,13
1030,1234956814130121011715,14
1031,1234956814131201011715,15
1032,1234956014131281011715,16
1033,1234950614131281011715,17
1034,1234905614131281011715,18
1035,1234913561401281011715,19
1036,1234913561411128100715,20
1037,1234913561411128010715,21
1038,1234913560111281410715,22
1039,1234913561101281410715,23
1040,1234913561110128140715,24
1041,1234567891011121314150,0
1042,1234567891011013141512,1
1043,1234567891001113141512,2
1044,1234567891015111314012,3
1045,1234567891015111301412,4
1046,1234567890151113101412,5
1047,1234507896151113101412,6
1048,1234570896151113101412,7
1049,1234571589601113101412,8
1050,1234571589061113101412,9
1051,1234571580961113101412,10
1052,1234071585961113101412,11
1053,234171585961113101412,12
1054,2034171585961113101412,13
1055,2734101585961113101412,14
1056,2734191585061113101412,15
1057,2734191585106111301412,16
1058,2734191585106110131412,17
1059,2734191580106115131412,18
1060,2734091581106115131412,19
1061,734291581106115131412,20
1062,7034291581106115131412,21
1063,7304291581106115131412,22
1064,7315429081106115131412,23
1065,7315429681100115131412,24
1066,7315429681101411513012,25
1067,7315429681101411501312,26
1068,7315429681101411051312,27
1069,7315429680101411151312,28
1070,7315429681001411151312,29
1071,7315420681091411151312,30
