col1,ans
608135472,17
680135472,18
685130472,19
685103472,20
685173402,21
685173042,22
685073142,23
685703142,24
123456780,0
123450786,1
123405786,2
103425786,3
13425786,4
413025786,5
413205786,6
403215786,7
430215786,8
435210786,9
435201786,10
405231786,11
45231786,12
245031786,13
245301786,14
245381706,15
245381076,16
245081376,17
45281376,18
405281376,19
485201376,20
485271306,21
485271360,22
485270361,23
480275361,24
408275361,25
48275361,26
123456780,0
123456708,1
123456078,2
123056478,3
123506478,4
123560478,5
123568470,6
123568407,7
123508467,8
103528467,9
130528467,10
138520467,11
138502467,12
108532467,13
18532467,14
518032467,15
518432067,16
518432607,17
518402637,18
123456780,0
123456708,1
123456078,2
123056478,3
123506478,4
123560478,5
123568470,6
123568407,7
123568047,8
123068547,9
123608547,10
103628547,11
130628547,12
138620547,13
138627540,14
138627504,15
138607524,16
108637524,17
180637524,18
187630524,19
187634520,20
187634502,21
187634052,22
187034652,23
187304652,24
187354602,25
187354620,26
123456780,0
123450786,1
123405786,2
123045786,3
123745086,4
123745806,5
123705846,6
123750846,7
123756840,8
123756804,9
123706854,10
123076854,11
23176854,12
203176854,13
273106854,14
273156804,15
273156084,16
273056184,17
273506184,18
273586104,19
273586140,20
123456780,0
123450786,1
123405786,2
123045786,3
123745086,4
123745806,5
123705846,6
123075846,7
23175846,8
203175846,9
230175846,10
235170846,11
235176840,12
235176804,13
235106874,14
205136874,15
250136874,16
256130874,17
256134870,18
256134807,19
256134087,20
256034187,21
256304187,22
123456780,0
123450786,1
123405786,2
123045786,3
23145786,4
203145786,5
243105786,6
243150786,7
240153786,8
204153786,9
24153786,10
124053786,11
124753086,12
124753806,13
124703856,14
124730856,15
124736850,16
124736805,17
124706835,18
104726835,19
14726835,20
714026835,21
714826035,22
714826305,23
714806325,24
123456780,0
123456708,1
123406758,2
123460758,3
123468750,4
123468705,5
123468075,6
123068475,7
23168475,8
203168475,9
230168475,10
238160475,11
238165470,12
238165407,13
238105467,14
238015467,15
38215467,16
308215467,17
318205467,18
318025467,19
318425067,20
318425607,21
318405627,22
123456780,0
123450786,1
123405786,2
123045786,3
123745086,4
123745806,5
123705846,6
123750846,7
120753846,8
102753846,9
12753846,10
712053846,11
712503846,12
702513846,13
72513846,14
572013846,15
572813046,16
572813406,17
572803416,18
572083416,19
572483016,20
123456780,0
123450786,1
120453786,2
102453786,3
152403786,4
152483706,5
152483076,6
152083476,7
152803476,8
152830476,9
152836470,10
152836407,11
152836047,12
152036847,13
52136847,14
502136847,15
532106847,16
123456780,0
123450786,1
123405786,2
123485706,3
123485076,4
123085476,5
123805476,6
123875406,7
123875460,8
123870465,9
120873465,10
102873465,11
12873465,12
812073465,13
812703465,14
812763405,15
812763450,16
812760453,17
812706453,18
802716453,19
820716453,20
826710453,21
826701453,22
826751403,23
826751430,24
123456780,0
123456708,1
123406758,2
103426758,3
130426758,4
136420758,5
136402758,6
136042758,7
36142758,8
306142758,9
346102758,10
346152708,11
346152078,12
346052178,13
46352178,14
406352178,15
460352178,16
462350178,17
462305178,18
402365178,19
42365178,20
342065178,21
342605178,22
342675108,23
342675018,24
123456780,0
123450786,1
123405786,2
123045786,3
123745086,4
123745806,5
123705846,6
123750846,7
123756840,8
123756804,9
123706854,10
103726854,11
130726854,12
136720854,13
136724850,14
136724805,15
136724085,16
136024785,17
136204785,18
106234785,19
160234785,20
164230785,21
164235780,22
123456780,0
123450786,1
123405786,2
103425786,3
13425786,4
413025786,5
413725086,6
413725806,7
413705826,8
403715826,9
430715826,10
435710826,11
435701826,12
435721806,13
435721860,14
435720861,15
435702861,16
435072861,17
35472861,18
305472861,19
350472861,20
352470861,21
352407861,22
123456780,0
123450786,1
120453786,2
102453786,3
152403786,4
152043786,5
52143786,6
502143786,7
542103786,8
123456780,0
123450786,1
123405786,2
103425786,3
130425786,4
135420786,5
135402786,6
135482706,7
135482760,8
135480762,9
135408762,10
135048762,11
135748062,12
135748602,13
135748620,14
135740628,15
135704628,16
105734628,17
15734628,18
715034628,19
715634028,20
715634208,21
715634280,22
715630284,23
710635284,24
701635284,25
731605284,26
123456780,0
123450786,1
123405786,2
123485706,3
123485076,4
123085476,5
123805476,6
103825476,7
130825476,8
135820476,9
135826470,10
135826407,11
135826047,12
135026847,13
135206847,14
135260847,15
135267840,16
135267804,17
135267084,18
135067284,19
135607284,20
105637284,21
15637284,22
123456780,0
123450786,1
123405786,2
123485706,3
123485076,4
123085476,5
123805476,6
103825476,7
130825476,8
135820476,9
135826470,10
135826407,11
135826047,12
135026847,13
35126847,14
305126847,15
325106847,16
325016847,17
25316847,18
205316847,19
250316847,20
256310847,21
256317840,22
256317804,23
256317084,24
123456780,0
123450786,1
120453786,2
102453786,3
152403786,4
152430786,5
152436780,6
152436708,7
152406738,8
152046738,9
52146738,10
502146738,11
542106738,12
542016738,13
542716038,14
542716308,15
542716380,16
542710386,17
540712386,18
504712386,19
514702386,20
514782306,21
514782360,22
514780362,23
510784362,24
123456780,0
123456708,1
123456078,2
123056478,3
23156478,4
203156478,5
230156478,6
236150478,7
236158470,8
236158407,9
236108457,10
236018457,11
36218457,12
306218457,13
360218457,14
368210457,15
368217450,16
368217405,17
368207415,18
368027415,19
68327415,20
608327415,21
680327415,22
687320415,23
687325410,24
687325401,25
687325041,26
123456780,0
123450786,1
120453786,2
102453786,3
152403786,4
152483706,5
152483076,6
152083476,7
52183476,8
502183476,9
582103476,10
582173406,11
582173046,12
582073146,13
582703146,14
582730146,15
580732146,16
508732146,17
58732146,18
123456780,0
123456708,1
123456078,2
123056478,3
123506478,4
103526478,5
13526478,6
513026478,7
513206478,8
513276408,9
513276048,10
513076248,11
13576248,12
103576248,13
173506248,14
173056248,15
173256048,16
173256408,17
173256480,18
123456780,0
123450786,1
123405786,2
103425786,3
13425786,4
413025786,5
413205786,6
413250786,7
410253786,8
401253786,9
451203786,10
451230786,11
450231786,12
405231786,13
45231786,14
245031786,15
245301786,16
245381706,17
245381076,18
245081376,19
45281376,20
405281376,21
485201376,22
485271306,23
485271360,24
123456780,0
123450786,1
120453786,2
102453786,3
12453786,4
412053786,5
412503786,6
412583706,7
412583076,8
412083576,9
412803576,10
412830576,11
412836570,12
412836507,13
412836057,14
412036857,15
412306857,16
402316857,17
420316857,18
426310857,19
426301857,20
123456780,0
123456708,1
123406758,2
123460758,3
120463758,4
102463758,5
162403758,6
162430758,7
162438750,8
162438705,9
162408735,10
162048735,11
162748035,12
162748305,13
162708345,14
102768345,15
120768345,16
128760345,17
128765340,18
128765304,19
128705364,20
128075364,21
28175364,22
208175364,23
278105364,24
123456780,0
123456708,1
123406758,2
103426758,3
130426758,4
136420758,5
136402758,6
106432758,7
16432758,8
416032758,9
416732058,10
416732508,11
416732580,12
416730582,13
416703582,14
406713582,15
46713582,16
746013582,17
746103582,18
706143582,19
760143582,20
763140582,21
763104582,22
763184502,23
763184052,24
763084152,25
763804152,26
123456780,0
123450786,1
123405786,2
123485706,3
123485076,4
123085476,5
23185476,6
203185476,7
283105476,8
283150476,9
283156470,10
283156407,11
283106457,12
283160457,13
283167450,14
283167405,15
283167045,16
283067145,17
283607145,18
283647105,19
283647150,20
123456780,0
123450786,1
123405786,2
123045786,3
123745086,4
123745806,5
123705846,6
103725846,7
13725846,8
713025846,9
713205846,10
703215846,11
730215846,12
735210846,13
735216840,14
735216804,15
735216084,16
735016284,17
735106284,18
123456780,0
123450786,1
123405786,2
103425786,3
130425786,4
135420786,5
135426780,6
135426708,7
135426078,8
135026478,9
35126478,10
305126478,11
325106478,12
325176408,13
325176480,14
325170486,15
325107486,16
325017486,17
25317486,18
123456780,0
123456708,1
123406758,2
103426758,3
13426758,4
413026758,5
413206758,6
403216758,7
430216758,8
436210758,9
436218750,10
436218705,11
436218075,12
436018275,13
436108275,14
436180275,15
430186275,16
403186275,17
483106275,18
483160275,19
480163275,20
408163275,21
48163275,22
123456780,0
123456708,1
123456078,2
123056478,3
23156478,4
203156478,5
253106478,6
253176408,7
253176480,8
253170486,9
250173486,10
205173486,11
275103486,12
275183406,13
275183460,14
275180463,15
270185463,16
207185463,17
287105463,18
287165403,19
287165043,20
287065143,21
87265143,22
807265143,23
867205143,24
867025143,25
867125043,26
123456780,0
123456708,1
123406758,2
123460758,3
120463758,4
102463758,5
12463758,6
412063758,7
412603758,8
412630758,9
410632758,10
401632758,11
41632758,12
641032758,13
641732058,14
641732508,15
641702538,16
641720538,17
640721538,18
123456780,0
123450786,1
123405786,2
123485706,3
123485076,4
123085476,5
123805476,6
103825476,7
13825476,8
813025476,9
813425076,10
813425706,11
813405726,12
803415726,13
830415726,14
835410726,15
835401726,16
805431726,17
85431726,18
123456780,0
123456708,1
123406758,2
123046758,3
23146758,4
203146758,5
230146758,6
236140758,7
236104758,8
206134758,9
26134758,10
126034758,11
126734058,12
126734508,13
126734580,14
126730584,15
126703584,16
126783504,17
126783054,18
126083754,19
126803754,20
123456780,0
123456708,1
123456078,2
123056478,3
123506478,4
103526478,5
130526478,6
136520478,7
136528470,8
136528407,9
136528047,10
136028547,11
136208547,12
136280547,13
136287540,14
136287504,15
136287054,16
136087254,17
36187254,18
306187254,19
360187254,20
367180254,21
367108254,22
123456780,0
123450786,1
120453786,2
102453786,3
152403786,4
152483706,5
152483076,6
152083476,7
52183476,8
502183476,9
582103476,10
582173406,11
582173460,12
582170463,13
582107463,14
582167403,15
582167043,16
582067143,17
82567143,18
802567143,19
862507143,20
862057143,21
62857143,22
123456780,0
123456708,1
123406758,2
123046758,3
123746058,4
123746508,5
123746580,6
123740586,7
120743586,8
102743586,9
142703586,10
142783506,11
142783056,12
142083756,13
42183756,14
402183756,15
482103756,16
482130756,17
480132756,18
123456780,0
123450786,1
123405786,2
103425786,3
13425786,4
413025786,5
413205786,6
403215786,7
430215786,8
435210786,9
435216780,10
435216708,11
435206718,12
435260718,13
435268710,14
435268701,15
435208761,16
435028761,17
435728061,18
435728601,19
435708621,20
435078621,21
35478621,22
305478621,23
350478621,24
358470621,25
358407621,26
123456780,0
123456708,1
123406758,2
123460758,3
120463758,4
102463758,5
162403758,6
162453708,7
162453780,8
162450783,9
162405783,10
162045783,11
62145783,12
602145783,13
620145783,14
625140783,15
625143780,16
625143708,17
625103748,18
625130748,19
620135748,20
602135748,21
632105748,22
123456780,0
123456708,1
123406758,2
103426758,3
13426758,4
413026758,5
413206758,6
413260758,7
413268750,8
413268705,9
413268075,10
413068275,11
13468275,12
103468275,13
130468275,14
138460275,15
138406275,16
108436275,17
18436275,18
418036275,19
418306275,20
123456780,0
123450786,1
123405786,2
123485706,3
123485076,4
123085476,5
23185476,6
203185476,7
230185476,8
235180476,9
235108476,10
235018476,11
35218476,12
305218476,13
315208476,14
315028476,15
315428076,16
315428706,17
315428760,18
123456780,0
123456708,1
123456078,2
123056478,3
23156478,4
203156478,5
253106478,6
253160478,7
250163478,8
205163478,9
265103478,10
265173408,11
265173480,12
265170483,13
265107483,14
265017483,15
265417083,16
265417803,17
265407813,18
265047813,19
265847013,20
123456780,0
123456708,1
123406758,2
123046758,3
23146758,4
203146758,5
243106758,6
243156708,7
243156078,8
243056178,9
243506178,10
243560178,11
240563178,12
204563178,13
264503178,14
264530178,15
264538170,16
264538107,17
264538017,18
264038517,19
64238517,20
604238517,21
634208517,22
634280517,23
634287510,24
634287501,25
634287051,26
123456780,0
123450786,1
123405786,2
103425786,3
130425786,4
135420786,5
135402786,6
135482706,7
135482076,8
135082476,9
35182476,10
305182476,11
385102476,12
385120476,13
385126470,14
385126407,15
385106427,16
385016427,17
385416027,18
123456780,0
123450786,1
123405786,2
123485706,3
123485076,4
123085476,5
123805476,6
103825476,7
13825476,8
813025476,9
813205476,10
813250476,11
810253476,12
801253476,13
851203476,14
851273406,15
851273046,16
851073246,17
851703246,18
851730246,19
851736240,20
851736204,21
851736024,22
851036724,23
851306724,24
123456780,0
123450786,1
123405786,2
123485706,3
123485760,4
123480765,5
120483765,6
102483765,7
182403765,8
182043765,9
182743065,10
182743605,11
182703645,12
182073645,13
82173645,14
802173645,15
872103645,16
872130645,17
870132645,18
807132645,19
837102645,20
837012645,21
837612045,22
123456780,0
123456708,1
123456078,2
123056478,3
123506478,4
123560478,5
123568470,6
123568407,7
123508467,8
103528467,9
130528467,10
138520467,11
138502467,12
138562407,13
138562470,14
138560472,15
138506472,16
108536472,17
18536472,18
518036472,19
518306472,20
123456780,0
123450786,1
123405786,2
123045786,3
123745086,4
123745806,5
123705846,6
123750846,7
120753846,8
102753846,9
12753846,10
712053846,11
712853046,12
712853406,13
712803456,14
702813456,15
720813456,16
723810456,17
723801456,18
703821456,19
73821456,20
873021456,21
873421056,22
123456780,0
123456708,1
123456078,2
123056478,3
123506478,4
123560478,5
123568470,6
123568407,7
123508467,8
103528467,9
130528467,10
138520467,11
138502467,12
108532467,13
18532467,14
518032467,15
518432067,16
518432607,17
518432670,18
518430672,19
518403672,20
518473602,21
518473620,22
123456780,0
123456708,1
123406758,2
123046758,3
123746058,4
123746508,5
123746580,6
123740586,7
120743586,8
102743586,9
12743586,10
712043586,11
712403586,12
712483506,13
712483056,14
123456780,0
123456708,1
123456078,2
123056478,3
123506478,4
123560478,5
120563478,6
102563478,7
12563478,8
512063478,9
512603478,10
512630478,11
510632478,12
501632478,13
531602478,14
531672408,15
531672480,16
531670482,17
530671482,18
503671482,19
573601482,20
123456780,0
123450786,1
120453786,2
102453786,3
152403786,4
152043786,5
152743086,6
152743806,7
152703846,8
152730846,9
152736840,10
152736804,11
152706834,12
152760834,13
150762834,14
105762834,15
15762834,16
715062834,17
715602834,18
715632804,19
715632084,20
715032684,21
715302684,22
705312684,23
75312684,24
123456780,0
123456708,1
123456078,2
123056478,3
123506478,4
103526478,5
13526478,6
513026478,7
513426078,8
513426708,9
513406728,10
513460728,11
513468720,12
513468702,13
513408762,14
503418762,15
530418762,16
123456780,0
123456708,1
123406758,2
123046758,3
23146758,4
203146758,5
230146758,6
236140758,7
236104758,8
236014758,9
36214758,10
306214758,11
316204758,12
316024758,13
316724058,14
316724508,15
316704528,16
316074528,17
16374528,18
106374528,19
160374528,20
164370528,21
164307528,22
123456780,0
123450786,1
123405786,2
123045786,3
123745086,4
123745806,5
123745860,6
123740865,7
123704865,8
123074865,9
123874065,10
123874605,11
123874650,12
123870654,13
120873654,14
102873654,15
172803654,16
172830654,17
170832654,18
107832654,19
17832654,20
817032654,21
817302654,22
817320654,23
817324650,24
817324605,25
817324065,26
817024365,27
817204365,28
123456780,0
123456708,1
123406758,2
103426758,3
13426758,4
413026758,5
413206758,6
413256708,7
413256078,8
413056278,9
413506278,10
413560278,11
413568270,12
413568207,13
413508267,14
403518267,15
430518267,16
438510267,17
438517260,18
438517206,19
438507216,20
408537216,21
48537216,22
548037216,23
548307216,24
123456780,0
123450786,1
123405786,2
123485706,3
123485076,4
123085476,5
23185476,6
203185476,7
283105476,8
283175406,9
283175460,10
283170465,11
283107465,12
283017465,13
283417065,14
283417605,15
283407615,16
283470615,17
280473615,18
123456780,0
123456708,1
123406758,2
123046758,3
123746058,4
123746508,5
123706548,6
103726548,7
13726548,8
713026548,9
713526048,10
713526408,11
713506428,12
713560428,13
710563428,14
701563428,15
71563428,16
571063428,17
571603428,18
571630428,19
571638420,20
571638402,21
571638042,22
571038642,23
571308642,24
123456780,0
123450786,1
123405786,2
103425786,3
130425786,4
135420786,5
135402786,6
135042786,7
35142786,8
305142786,9
350142786,10
352140786,11
352146780,12
352146708,13
352106748,14
352016748,15
352716048,16
352716408,17
352706418,18
123456780,0
123456708,1
123406758,2
103426758,3
130426758,4
136420758,5
136402758,6
106432758,7
16432758,8
416032758,9
416302758,10
416352708,11
416352078,12
416052378,13
416502378,14
406512378,15
460512378,16
462510378,17
462501378,18
462571308,19
462571380,20
123456780,0
123450786,1
123405786,2
103425786,3
13425786,4
413025786,5
413725086,6
413725806,7
413705826,8
413075826,9
13475826,10
103475826,11
173405826,12
173450826,13
170453826,14
107453826,15
17453826,16
417053826,17
417503826,18
417523806,19
417523086,20
123456780,0
123456708,1
123406758,2
103426758,3
130426758,4
136420758,5
136428750,6
136428705,7
136408725,8
106438725,9
160438725,10
168430725,11
168435720,12
168435702,13
168435072,14
168035472,15
168305472,16
168350472,17
168352470,18
168352407,19
168302457,20
108362457,21
18362457,22
318062457,23
318602457,24
318620457,25
310628457,26
123456780,0
123456708,1
123406758,2
123460758,3
120463758,4
102463758,5
12463758,6
412063758,7
412763058,8
412763508,9
412763580,10
412760583,11
412706583,12
402716583,13
42716583,14
742016583,15
742106583,16
742186503,17
742186053,18
742086153,19
742806153,20
742860153,21
740862153,22
704862153,23
764802153,24
123456780,0
123456708,1
123406758,2
123046758,3
23146758,4
203146758,5
230146758,6
236140758,7
236104758,8
236154708,9
236154078,10
236054178,11
36254178,12
306254178,13
356204178,14
356274108,15
356274018,16
356074218,17
356704218,18
356740218,19
356748210,20
356748201,21
356708241,22
123456780,0
123456708,1
123456078,2
123056478,3
123506478,4
103526478,5
13526478,6
513026478,7
513206478,8
513276408,9
513276048,10
513076248,11
513706248,12
513760248,13
513768240,14
513768204,15
513708264,16
503718264,17
530718264,18
538710264,19
538701264,20
508731264,21
58731264,22
758031264,23
758231064,24
123456780,0
123450786,1
120453786,2
102453786,3
152403786,4
152043786,5
52143786,6
502143786,7
520143786,8
523140786,9
523146780,10
523146708,11
523106748,12
523160748,13
520163748,14
502163748,15
52163748,16
152063748,17
152763048,18
123456780,0
123456708,1
123406758,2
123460758,3
123468750,4
123468705,5
123468075,6
123068475,7
123608475,8
123680475,9
120683475,10
102683475,11
12683475,12
612083475,13
612803475,14
612873405,15
612873450,16
612870453,17
612807453,18
602817453,19
620817453,20
627810453,21
627813450,22
627813405,23
627803415,24
627830415,25
620837415,26
123456780,0
123450786,1
123405786,2
123485706,3
123485076,4
123085476,5
23185476,6
203185476,7
283105476,8
283175406,9
283175046,10
283075146,11
83275146,12
803275146,13
873205146,14
873250146,15
870253146,16
807253146,17
857203146,18
123456780,0
123450786,1
123405786,2
123485706,3
123485076,4
123085476,5
123805476,6
103825476,7
13825476,8
813025476,9
813205476,10
803215476,11
830215476,12
835210476,13
835216470,14
835216407,15
835206417,16
835260417,17
835267410,18
835267401,19
835267041,20
835067241,21
835607241,22
805637241,23
850637241,24
857630241,25
857603241,26
857643201,27
857643021,28
123456780,0
123450786,1
123405786,2
103425786,3
130425786,4
135420786,5
135402786,6
135042786,7
35142786,8
305142786,9
345102786,10
345012786,11
345712086,12
345712806,13
345702816,14
345072816,15
45372816,16
405372816,17
450372816,18
452370816,19
452376810,20
452376801,21
452306871,22
123456780,0
123456708,1
123406758,2
123460758,3
120463758,4
102463758,5
162403758,6
162430758,7
162438750,8
162438705,9
162438075,10
162038475,11
62138475,12
602138475,13
632108475,14
632178405,15
632178450,16
632170458,17
632107458,18
632157408,19
632157048,20
632057148,21
632507148,22
123456780,0
123456708,1
123456078,2
123056478,3
23156478,4
203156478,5
253106478,6
253160478,7
253168470,8
253168407,9
253108467,10
253018467,11
253418067,12
253418607,13
253418670,14
253410678,15
253401678,16
253041678,17
53241678,18
503241678,19
530241678,20
123456780,0
123450786,1
120453786,2
102453786,3
12453786,4
412053786,5
412753086,6
412753806,7
412703856,8
412730856,9
412736850,10
412736805,11
412706835,12
402716835,13
42716835,14
123456780,0
123450786,1
120453786,2
102453786,3
12453786,4
412053786,5
412753086,6
412753806,7
412703856,8
412073856,9
12473856,10
102473856,11
172403856,12
172430856,13
170432856,14
107432856,15
17432856,16
417032856,17
417302856,18
407312856,19
470312856,20
472310856,21
472316850,22
472316805,23
472306815,24
123456780,0
123456708,1
123406758,2
123046758,3
123746058,4
123746508,5
123706548,6
123076548,7
23176548,8
203176548,9
230176548,10
236170548,11
236107548,12
236147508,13
236147580,14
236140587,15
236104587,16
236014587,17
236514087,18
236514807,19
236504817,20
123456780,0
123450786,1
120453786,2
102453786,3
152403786,4
152430786,5
152436780,6
152436708,7
152436078,8
152036478,9
52136478,10
502136478,11
532106478,12
532016478,13
532416078,14
532416708,15
532406718,16
532460718,17
532468710,18
532468701,19
532468071,20
532068471,21
532608471,22
532678401,23
532678041,24
123456780,0
123450786,1
123405786,2
123045786,3
123745086,4
123745806,5
123745860,6
123740865,7
123704865,8
123074865,9
123874065,10
123874605,11
123804675,12
103824675,13
130824675,14
134820675,15
134825670,16
134825607,17
134825067,18
134025867,19
34125867,20
304125867,21
340125867,22
123456780,0
123450786,1
123405786,2
123045786,3
23145786,4
203145786,5
243105786,6
243015786,7
243715086,8
243715806,9
243705816,10
243750816,11
243756810,12
243756801,13
243706851,14
243760851,15
240763851,16
204763851,17
24763851,18
724063851,19
724603851,20
704623851,21
74623851,22
123456780,0
123456708,1
123406758,2
123460758,3
120463758,4
102463758,5
12463758,6
412063758,7
412603758,8
412630758,9
410632758,10
401632758,11
431602758,12
431620758,13
431628750,14
431628705,15
431628075,16
431028675,17
31428675,18
301428675,19
310428675,20
318420675,21
318402675,22
123456780,0
123450786,1
123405786,2
123485706,3
123485760,4
123480765,5
123408765,6
123048765,7
23148765,8
203148765,9
230148765,10
238140765,11
238104765,12
238014765,13
38214765,14
308214765,15
318204765,16
318024765,17
318724065,18
318724605,19
318704625,20
318074625,21
18374625,22
108374625,23
180374625,24
184370625,25
184375620,26
123456780,0
123456708,1
123406758,2
103426758,3
130426758,4
136420758,5
136402758,6
136452708,7
136452780,8
136450782,9
136405782,10
136045782,11
136745082,12
136745802,13
136705842,14
136075842,15
36175842,16
306175842,17
376105842,18
376145802,19
376145082,20
123456780,0
123456708,1
123406758,2
123046758,3
123746058,4
123746508,5
123706548,6
123760548,7
123768540,8
123768504,9
123708564,10
103728564,11
130728564,12
138720564,13
138702564,14
138072564,15
38172564,16
308172564,17
380172564,18
382170564,19
382174560,20
382174506,21
382174056,22
123456780,0
123456708,1
123456078,2
123056478,3
123506478,4
123560478,5
120563478,6
102563478,7
162503478,8
162573408,9
162573480,10
162570483,11
162507483,12
162587403,13
162587043,14
162087543,15
62187543,16
602187543,17
620187543,18
627180543,19
627108543,20
627148503,21
627148053,22
123456780,0
123450786,1
123405786,2
103425786,3
13425786,4
413025786,5
413205786,6
413285706,7
413285076,8
413085276,9
413805276,10
413850276,11
413856270,12
413856207,13
413806257,14
413860257,15
410863257,16
123456780,0
123450786,1
123405786,2
123045786,3
23145786,4
203145786,5
243105786,6
243185706,7
243185076,8
243085176,9
43285176,10
403285176,11
483205176,12
483250176,13
483256170,14
483256107,15
483256017,16
483056217,17
83456217,18
803456217,19
853406217,20
853460217,21
853467210,22
123456780,0
123456708,1
123406758,2
123460758,3
120463758,4
102463758,5
162403758,6
162043758,7
162743058,8
162743508,9
162703548,10
162073548,11
62173548,12
602173548,13
672103548,14
672130548,15
670132548,16
607132548,17
637102548,18
637142508,19
637142580,20
637140582,21
637104582,22
637014582,23
37614582,24
123456780,0
123456708,1
123406758,2
103426758,3
13426758,4
413026758,5
413726058,6
413726508,7
413706528,8
403716528,9
430716528,10
436710528,11
436718520,12
436718502,13
436708512,14
436078512,15
36478512,16
306478512,17
376408512,18
376480512,19
370486512,20
307486512,21
387406512,22
387416502,23
387416520,24
123456780,0
123456708,1
123406758,2
103426758,3
130426758,4
136420758,5
136402758,6
136042758,7
36142758,8
306142758,9
360142758,10
362140758,11
362104758,12
362014758,13
362714058,14
362714508,15
362704518,16
302764518,17
32764518,18
732064518,19
732564018,20
732564108,21
732504168,22
123456780,0
123450786,1
123405786,2
123045786,3
123745086,4
123745806,5
123745860,6
123740865,7
120743865,8
102743865,9
142703865,10
142730865,11
142735860,12
142735806,13
142705836,14
142075836,15
42175836,16
402175836,17
420175836,18
425170836,19
425107836,20
405127836,21
450127836,22
457120836,23
457126830,24
457126803,25
457106823,26
123456780,0
123456708,1
123406758,2
123460758,3
123468750,4
123468705,5
123468075,6
123068475,7
23168475,8
203168475,9
263108475,10
263178405,11
263178045,12
263078145,13
63278145,14
603278145,15
673208145,16
673280145,17
673285140,18
673285104,19
673285014,20
673085214,21
673805214,22
603875214,23
63875214,24
123456780,0
123450786,1
123405786,2
103425786,3
13425786,4
413025786,5
413205786,6
403215786,7
430215786,8
435210786,9
435216780,10
435216708,11
435206718,12
405236718,13
45236718,14
245036718,15
245306718,16
205346718,17
250346718,18
256340718,19
256304718,20
206354718,21
260354718,22
123456780,0
123450786,1
123405786,2
123485706,3
123485076,4
123085476,5
23185476,6
203185476,7
230185476,8
235180476,9
235186470,10
235186407,11
235106487,12
235016487,13
35216487,14
305216487,15
350216487,16
356210487,17
356217480,18
356217408,19
356207418,20
123456780,0
123450786,1
123405786,2
123045786,3
123745086,4
123745806,5
123705846,6
103725846,7
130725846,8
135720846,9
135726840,10
135726804,11
135706824,12
135760824,13
130765824,14
103765824,15
13765824,16
713065824,17
713605824,18
713650824,19
713654820,20
713654802,21
713654082,22
123456780,0
123450786,1
123405786,2
123485706,3
123485760,4
123480765,5
123408765,6
103428765,7
130428765,8
138420765,9
138402765,10
138042765,11
38142765,12
308142765,13
380142765,14
382140765,15
382145760,16
382145706,17
382145076,18
382045176,19
382405176,20
123456780,0
123450786,1
120453786,2
102453786,3
152403786,4
152430786,5
150432786,6
105432786,7
15432786,8
415032786,9
415302786,10
415382706,11
415382760,12
415380762,13
410385762,14
401385762,15
41385762,16
341085762,17
341805762,18
301845762,19
310845762,20
315840762,21
315804762,22
315864702,23
315864720,24
123456780,0
123456708,1
123456078,2
123056478,3
123506478,4
123560478,5
120563478,6
102563478,7
12563478,8
512063478,9
512603478,10
502613478,11
520613478,12
523610478,13
523601478,14
523671408,15
523671480,16
523670481,17
523607481,18
503627481,19
53627481,20
653027481,21
653427081,22
653427801,23
653407821,24
603457821,25
