col1,col2,col3,ans
123,406,758,2
103,426,758,3
13,426,758,4
413,26,758,5
413,726,58,6
413,726,508,7
413,706,528,8
413,76,528,9
13,476,528,10
103,476,528,11
173,406,528,12
173,460,528,13
170,463,528,14
107,463,528,15
17,463,528,16
417,63,528,17
417,563,28,18
417,563,208,19
417,563,280,20
417,560,283,21
417,506,283,22
417,56,283,23
17,456,283,24
123,456,780,0
123,450,786,1
123,405,786,2
123,485,706,3
123,485,76,4
123,85,476,5
123,805,476,6
103,825,476,7
130,825,476,8
135,820,476,9
135,826,470,10
135,826,407,11
135,806,427,12
105,836,427,13
15,836,427,14
815,36,427,15
815,436,27,16
815,436,207,17
815,406,237,18
805,416,237,19
850,416,237,20
856,410,237,21
856,401,237,22
123,456,780,0
123,450,786,1
123,405,786,2
123,485,706,3
123,485,760,4
123,480,765,5
123,408,765,6
123,48,765,7
123,748,65,8
123,748,605,9
123,748,650,10
123,740,658,11
123,704,658,12
123,754,608,13
123,754,68,14
123,54,768,15
123,504,768,16
103,524,768,17
130,524,768,18
134,520,768,19
134,502,768,20
123,456,780,0
123,456,708,1
123,456,78,2
123,56,478,3
23,156,478,4
203,156,478,5
253,106,478,6
253,160,478,7
253,168,470,8
253,168,407,9
253,108,467,10
253,180,467,11
250,183,467,12
205,183,467,13
25,183,467,14
125,83,467,15
125,803,467,16
105,823,467,17
15,823,467,18
815,23,467,19
815,203,467,20
815,230,467,21
810,235,467,22
801,235,467,23
831,205,467,24
123,456,780,0
123,450,786,1
120,453,786,2
102,453,786,3
152,403,786,4
152,43,786,5
152,743,86,6
152,743,806,7
152,743,860,8
152,740,863,9
152,704,863,10
152,74,863,11
52,174,863,12
502,174,863,13
572,104,863,14
572,164,803,15
572,164,830,16
572,160,834,17
570,162,834,18
507,162,834,19
567,102,834,20
567,12,834,21
567,812,34,22
567,812,304,23
567,802,314,24
123,456,780,0
123,450,786,1
123,405,786,2
123,485,706,3
123,485,76,4
123,85,476,5
123,805,476,6
123,875,406,7
123,875,460,8
123,870,465,9
123,807,465,10
103,827,465,11
13,827,465,12
813,27,465,13
813,427,65,14
813,427,605,15
813,407,625,16
813,47,625,17
813,647,25,18
123,456,780,0
123,456,708,1
123,406,758,2
123,46,758,3
23,146,758,4
203,146,758,5
243,106,758,6
243,156,708,7
243,156,78,8
243,56,178,9
43,256,178,10
403,256,178,11
453,206,178,12
453,260,178,13
450,263,178,14
405,263,178,15
465,203,178,16
465,273,108,17
465,273,180,18
465,270,183,19
465,207,183,20
465,27,183,21
465,127,83,22
465,127,803,23
465,127,830,24
123,456,780,0
123,456,708,1
123,406,758,2
123,460,758,3
120,463,758,4
102,463,758,5
162,403,758,6
162,453,708,7
162,453,780,8
162,450,783,9
160,452,783,10
106,452,783,11
16,452,783,12
416,52,783,13
416,502,783,14
416,582,703,15
416,582,730,16
416,580,732,17
416,508,732,18
406,518,732,19
46,518,732,20
123,456,780,0
123,450,786,1
120,453,786,2
102,453,786,3
12,453,786,4
412,53,786,5
412,503,786,6
412,583,706,7
412,583,760,8
412,580,763,9
410,582,763,10
401,582,763,11
481,502,763,12
481,562,703,13
481,562,730,14
481,560,732,15
480,561,732,16
408,561,732,17
48,561,732,18
548,61,732,19
548,601,732,20
548,610,732,21
548,612,730,22
548,612,703,23
548,602,713,24
123,456,780,0
123,456,708,1
123,406,758,2
123,460,758,3
120,463,758,4
102,463,758,5
162,403,758,6
162,43,758,7
162,743,58,8
162,743,508,9
162,743,580,10
162,740,583,11
160,742,583,12
106,742,583,13
146,702,583,14
146,72,583,15
46,172,583,16
406,172,583,17
460,172,583,18
462,170,583,19
462,107,583,20
462,187,503,21
462,187,53,22
123,456,780,0
123,456,708,1
123,456,78,2
123,56,478,3
123,506,478,4
123,560,478,5
123,568,470,6
123,568,407,7
123,508,467,8
103,528,467,9
13,528,467,10
513,28,467,11
513,208,467,12
503,218,467,13
530,218,467,14
538,210,467,15
538,217,460,16
538,217,406,17
538,217,46,18
538,17,246,19
38,517,246,20
123,456,780,0
123,450,786,1
123,405,786,2
123,485,706,3
123,485,76,4
123,85,476,5
23,185,476,6
203,185,476,7
230,185,476,8
235,180,476,9
235,186,470,10
235,186,407,11
235,186,47,12
235,86,147,13
235,806,147,14
205,836,147,15
250,836,147,16
256,830,147,17
256,803,147,18
256,843,107,19
256,843,17,20
123,456,780,0
123,456,708,1
123,406,758,2
123,460,758,3
123,468,750,4
123,468,705,5
123,408,765,6
103,428,765,7
13,428,765,8
413,28,765,9
413,208,765,10
403,218,765,11
430,218,765,12
438,210,765,13
438,215,760,14
438,215,706,15
438,205,716,16
408,235,716,17
480,235,716,18
123,456,780,0
123,450,786,1
120,453,786,2
102,453,786,3
152,403,786,4
152,43,786,5
152,743,86,6
152,743,806,7
152,743,860,8
152,740,863,9
152,704,863,10
152,764,803,11
152,764,83,12
152,64,783,13
152,604,783,14
102,654,783,15
12,654,783,16
612,54,783,17
612,754,83,18
612,754,803,19
612,754,830,20
612,750,834,21
610,752,834,22
601,752,834,23
651,702,834,24
651,732,804,25
651,732,840,26
123,456,780,0
123,456,708,1
123,406,758,2
123,46,758,3
23,146,758,4
203,146,758,5
243,106,758,6
243,160,758,7
240,163,758,8
204,163,758,9
264,103,758,10
264,13,758,11
264,713,58,12
264,713,508,13
264,713,580,14
264,710,583,15
264,701,583,16
264,781,503,17
264,781,530,18
264,780,531,19
260,784,531,20
206,784,531,21
286,704,531,22
286,74,531,23
86,274,531,24
806,274,531,25
876,204,531,26
876,240,531,27
876,241,530,28
123,456,780,0
123,450,786,1
123,405,786,2
123,485,706,3
123,485,76,4
123,85,476,5
23,185,476,6
203,185,476,7
283,105,476,8
283,15,476,9
83,215,476,10
803,215,476,11
830,215,476,12
835,210,476,13
835,216,470,14
835,216,407,15
835,206,417,16
835,260,417,17
835,267,410,18
835,267,401,19
835,207,461,20
835,27,461,21
835,427,61,22
835,427,601,23
835,407,621,24
805,437,621,25
850,437,621,26
857,430,621,27
857,403,621,28
123,456,780,0
123,450,786,1
123,405,786,2
123,45,786,3
23,145,786,4
203,145,786,5
230,145,786,6
235,140,786,7
235,104,786,8
205,134,786,9
250,134,786,10
254,130,786,11
254,136,780,12
254,136,708,13
254,106,738,14
254,16,738,15
54,216,738,16
504,216,738,17
514,206,738,18
514,260,738,19
510,264,738,20
501,264,738,21
51,264,738,22
251,64,738,23
251,764,38,24
251,764,308,25
251,704,368,26
123,456,780,0
123,456,708,1
123,456,78,2
123,56,478,3
123,506,478,4
123,560,478,5
123,568,470,6
123,568,407,7
123,508,467,8
123,580,467,9
120,583,467,10
102,583,467,11
12,583,467,12
512,83,467,13
512,803,467,14
512,830,467,15
512,837,460,16
512,837,406,17
512,837,46,18
512,37,846,19
512,307,846,20
123,456,780,0
123,456,708,1
123,406,758,2
103,426,758,3
13,426,758,4
413,26,758,5
413,726,58,6
413,726,508,7
413,726,580,8
413,720,586,9
413,702,586,10
403,712,586,11
43,712,586,12
743,12,586,13
743,512,86,14
743,512,806,15
743,512,860,16
743,510,862,17
743,501,862,18
743,561,802,19
743,561,82,20
123,456,780,0
123,456,708,1
123,406,758,2
123,46,758,3
23,146,758,4
203,146,758,5
230,146,758,6
236,140,758,7
236,148,750,8
236,148,705,9
236,108,745,10
236,18,745,11
236,718,45,12
236,718,405,13
236,708,415,14
236,780,415,15
236,785,410,16
236,785,401,17
236,705,481,18
206,735,481,19
260,735,481,20
265,730,481,21
265,703,481,22
123,456,780,0
123,456,708,1
123,406,758,2
103,426,758,3
13,426,758,4
413,26,758,5
413,206,758,6
403,216,758,7
430,216,758,8
436,210,758,9
436,218,750,10
436,218,705,11
436,208,715,12
406,238,715,13
46,238,715,14
246,38,715,15
246,308,715,16
246,380,715,17
246,385,710,18
246,385,701,19
246,385,71,20
246,85,371,21
246,805,371,22
246,850,371,23
246,851,370,24
246,851,307,25
246,801,357,26
246,810,357,27
240,816,357,28
123,456,780,0
123,456,708,1
123,406,758,2
123,46,758,3
123,746,58,4
123,746,508,5
123,706,548,6
123,760,548,7
123,768,540,8
123,768,504,9
123,768,54,10
123,68,754,11
123,608,754,12
103,628,754,13
130,628,754,14
138,620,754,15
138,602,754,16
108,632,754,17
18,632,754,18
618,32,754,19
618,302,754,20
618,352,704,21
618,352,74,22
618,52,374,23
618,502,374,24
608,512,374,25
680,512,374,26
123,456,780,0
123,456,708,1
123,456,78,2
123,56,478,3
23,156,478,4
203,156,478,5
253,106,478,6
253,160,478,7
250,163,478,8
205,163,478,9
25,163,478,10
125,63,478,11
125,603,478,12
125,673,408,13
125,673,480,14
125,670,483,15
125,607,483,16
105,627,483,17
15,627,483,18
615,27,483,19
615,427,83,20
615,427,803,21
615,407,823,22
615,470,823,23
615,473,820,24
123,456,780,0
123,450,786,1
120,453,786,2
102,453,786,3
152,403,786,4
152,43,786,5
52,143,786,6
502,143,786,7
542,103,786,8
542,183,706,9
542,183,76,10
542,83,176,11
542,803,176,12
542,873,106,13
542,873,160,14
542,870,163,15
542,807,163,16
502,847,163,17
520,847,163,18
527,840,163,19
527,804,163,20
123,456,780,0
123,456,708,1
123,406,758,2
123,460,758,3
123,468,750,4
123,468,705,5
123,468,75,6
123,68,475,7
23,168,475,8
203,168,475,9
263,108,475,10
263,180,475,11
260,183,475,12
206,183,475,13
26,183,475,14
126,83,475,15
126,803,475,16
106,823,475,17
16,823,475,18
123,456,780,0
123,450,786,1
123,405,786,2
123,485,706,3
123,485,760,4
123,480,765,5
120,483,765,6
102,483,765,7
182,403,765,8
182,463,705,9
182,463,75,10
182,63,475,11
82,163,475,12
802,163,475,13
820,163,475,14
823,160,475,15
823,165,470,16
823,165,407,17
823,105,467,18
823,15,467,19
823,415,67,20
123,456,780,0
123,456,708,1
123,456,78,2
123,56,478,3
123,506,478,4
123,560,478,5
123,568,470,6
123,568,407,7
123,508,467,8
103,528,467,9
13,528,467,10
513,28,467,11
513,428,67,12
513,428,607,13
513,408,627,14
503,418,627,15
530,418,627,16
538,410,627,17
538,401,627,18
508,431,627,19
58,431,627,20
458,31,627,21
458,301,627,22
458,321,607,23
458,321,670,24
123,456,780,0
123,450,786,1
123,405,786,2
123,45,786,3
23,145,786,4
203,145,786,5
230,145,786,6
235,140,786,7
235,104,786,8
235,14,786,9
35,214,786,10
305,214,786,11
315,204,786,12
315,24,786,13
315,724,86,14
315,724,806,15
315,704,826,16
315,740,826,17
315,746,820,18
315,746,802,19
315,706,842,20
315,76,842,21
15,376,842,22
123,456,780,0
123,456,708,1
123,406,758,2
103,426,758,3
130,426,758,4
136,420,758,5
136,428,750,6
136,428,705,7
136,408,725,8
136,480,725,9
130,486,725,10
103,486,725,11
183,406,725,12
183,46,725,13
83,146,725,14
803,146,725,15
843,106,725,16
843,160,725,17
840,163,725,18
123,456,780,0
123,450,786,1
123,405,786,2
123,45,786,3
123,745,86,4
123,745,806,5
123,705,846,6
123,750,846,7
123,756,840,8
123,756,804,9
123,706,854,10
103,726,854,11
13,726,854,12
713,26,854,13
713,206,854,14
713,260,854,15
710,263,854,16
123,456,780,0
123,456,708,1
123,406,758,2
103,426,758,3
13,426,758,4
413,26,758,5
413,206,758,6
413,260,758,7
410,263,758,8
401,263,758,9
41,263,758,10
241,63,758,11
241,763,58,12
241,763,508,13
241,703,568,14
201,743,568,15
21,743,568,16
721,43,568,17
721,403,568,18
721,430,568,19
721,438,560,20
123,456,780,0
123,456,708,1
123,456,78,2
123,56,478,3
23,156,478,4
203,156,478,5
253,106,478,6
253,16,478,7
253,416,78,8
253,416,708,9
253,406,718,10
253,460,718,11
250,463,718,12
205,463,718,13
25,463,718,14
425,63,718,15
425,603,718,16
405,623,718,17
45,623,718,18
645,23,718,19
645,723,18,20
645,723,108,21
645,703,128,22
645,730,128,23
640,735,128,24
604,735,128,25
634,705,128,26
123,456,780,0
123,456,708,1
123,456,78,2
123,56,478,3
23,156,478,4
203,156,478,5
253,106,478,6
253,160,478,7
250,163,478,8
205,163,478,9
265,103,478,10
265,173,408,11
265,173,480,12
265,170,483,13
265,107,483,14
205,167,483,15
250,167,483,16
257,160,483,17
257,163,480,18
257,163,408,19
257,103,468,20
123,456,780,0
123,450,786,1
123,405,786,2
123,45,786,3
123,745,86,4
123,745,806,5
123,705,846,6
123,750,846,7
120,753,846,8
102,753,846,9
12,753,846,10
712,53,846,11
712,853,46,12
712,853,406,13
712,803,456,14
702,813,456,15
72,813,456,16
872,13,456,17
872,103,456,18
123,456,780,0
123,450,786,1
123,405,786,2
123,485,706,3
123,485,76,4
123,85,476,5
23,185,476,6
203,185,476,7
230,185,476,8
235,180,476,9
235,108,476,10
235,18,476,11
235,418,76,12
235,418,706,13
235,408,716,14
235,48,716,15
35,248,716,16
305,248,716,17
350,248,716,18
358,240,716,19
358,246,710,20
358,246,701,21
358,206,741,22
308,256,741,23
38,256,741,24
123,456,780,0
123,450,786,1
120,453,786,2
102,453,786,3
152,403,786,4
152,43,786,5
52,143,786,6
502,143,786,7
542,103,786,8
542,183,706,9
542,183,76,10
542,83,176,11
42,583,176,12
402,583,176,13
482,503,176,14
482,530,176,15
482,536,170,16
482,536,107,17
482,536,17,18
482,36,517,19
82,436,517,20
802,436,517,21
820,436,517,22
123,456,780,0
123,456,708,1
123,406,758,2
103,426,758,3
130,426,758,4
136,420,758,5
136,402,758,6
136,42,758,7
36,142,758,8
306,142,758,9
360,142,758,10
362,140,758,11
362,104,758,12
362,14,758,13
362,714,58,14
362,714,508,15
362,714,580,16
362,710,584,17
362,701,584,18
362,71,584,19
62,371,584,20
602,371,584,21
672,301,584,22
123,456,780,0
123,456,708,1
123,406,758,2
103,426,758,3
130,426,758,4
136,420,758,5
136,402,758,6
106,432,758,7
16,432,758,8
416,32,758,9
416,732,58,10
416,732,508,11
416,702,538,12
406,712,538,13
46,712,538,14
123,456,780,0
123,456,708,1
123,456,78,2
123,56,478,3
123,506,478,4
123,576,408,5
123,576,480,6
123,570,486,7
123,507,486,8
103,527,486,9
130,527,486,10
137,520,486,11
137,502,486,12
107,532,486,13
17,532,486,14
517,32,486,15
517,302,486,16
517,320,486,17
517,326,480,18
123,456,780,0
123,450,786,1
123,405,786,2
123,485,706,3
123,485,760,4
123,480,765,5
120,483,765,6
102,483,765,7
182,403,765,8
182,43,765,9
182,743,65,10
182,743,605,11
182,743,650,12
182,740,653,13
180,742,653,14
108,742,653,15
18,742,653,16
718,42,653,17
718,402,653,18
708,412,653,19
78,412,653,20
478,12,653,21
478,612,53,22
478,612,503,23
478,612,530,24
123,456,780,0
123,450,786,1
123,405,786,2
103,425,786,3
130,425,786,4
135,420,786,5
135,402,786,6
135,42,786,7
35,142,786,8
305,142,786,9
345,102,786,10
345,182,706,11
345,182,76,12
345,82,176,13
45,382,176,14
405,382,176,15
485,302,176,16
485,372,106,17
485,372,160,18
485,370,162,19
485,307,162,20
405,387,162,21
450,387,162,22
457,380,162,23
457,308,162,24
123,456,780,0
123,450,786,1
120,453,786,2
102,453,786,3
152,403,786,4
152,43,786,5
152,743,86,6
152,743,806,7
152,743,860,8
152,740,863,9
152,704,863,10
152,764,803,11
152,764,830,12
152,760,834,13
150,762,834,14
105,762,834,15
165,702,834,16
165,72,834,17
165,872,34,18
165,872,304,19
165,872,340,20
123,456,780,0
123,450,786,1
120,453,786,2
102,453,786,3
12,453,786,4
412,53,786,5
412,503,786,6
412,530,786,7
412,536,780,8
412,536,708,9
412,536,78,10
412,36,578,11
412,306,578,12
412,360,578,13
412,368,570,14
412,368,507,15
412,368,57,16
412,68,357,17
412,608,357,18
402,618,357,19
420,618,357,20
428,610,357,21
428,601,357,22
428,651,307,23
428,651,370,24
123,456,780,0
123,450,786,1
123,405,786,2
103,425,786,3
130,425,786,4
135,420,786,5
135,402,786,6
135,42,786,7
35,142,786,8
305,142,786,9
345,102,786,10
345,182,706,11
345,182,760,12
345,180,762,13
340,185,762,14
304,185,762,15
384,105,762,16
384,165,702,17
384,165,72,18
384,65,172,19
84,365,172,20
804,365,172,21
864,305,172,22
864,375,102,23
864,375,120,24
864,370,125,25
864,307,125,26
123,456,780,0
123,456,708,1
123,406,758,2
123,46,758,3
123,746,58,4
123,746,508,5
123,706,548,6
123,760,548,7
120,763,548,8
102,763,548,9
162,703,548,10
162,73,548,11
62,173,548,12
602,173,548,13
620,173,548,14
623,170,548,15
623,107,548,16
623,17,548,17
623,517,48,18
623,517,408,19
623,517,480,20
123,456,780,0
123,450,786,1
120,453,786,2
102,453,786,3
12,453,786,4
412,53,786,5
412,503,786,6
412,583,706,7
412,583,760,8
412,580,763,9
410,582,763,10
401,582,763,11
481,502,763,12
481,520,763,13
481,523,760,14
481,523,706,15
481,503,726,16
481,530,726,17
480,531,726,18
408,531,726,19
438,501,726,20
438,51,726,21
38,451,726,22
123,456,780,0
123,456,708,1
123,406,758,2
103,426,758,3
13,426,758,4
413,26,758,5
413,206,758,6
413,256,708,7
413,256,78,8
413,56,278,9
413,506,278,10
413,560,278,11
410,563,278,12
401,563,278,13
41,563,278,14
541,63,278,15
541,603,278,16
541,630,278,17
541,638,270,18
541,638,207,19
541,608,237,20
541,680,237,21
540,681,237,22
504,681,237,23
54,681,237,24
654,81,237,25
654,801,237,26
654,831,207,27
654,831,27,28
123,456,780,0
123,450,786,1
120,453,786,2
102,453,786,3
152,403,786,4
152,430,786,5
150,432,786,6
105,432,786,7
15,432,786,8
415,32,786,9
415,302,786,10
415,382,706,11
415,382,76,12
415,82,376,13
15,482,376,14
105,482,376,15
185,402,376,16
185,420,376,17
185,426,370,18
185,426,307,19
185,426,37,20
123,456,780,0
123,456,708,1
123,456,78,2
123,56,478,3
123,506,478,4
103,526,478,5
13,526,478,6
513,26,478,7
513,426,78,8
513,426,708,9
513,406,728,10
513,460,728,11
510,463,728,12
501,463,728,13
561,403,728,14
561,430,728,15
561,438,720,16
561,438,702,17
561,408,732,18
561,48,732,19
61,548,732,20
601,548,732,21
610,548,732,22
123,456,780,0
123,456,708,1
123,406,758,2
103,426,758,3
13,426,758,4
413,26,758,5
413,206,758,6
413,260,758,7
413,268,750,8
413,268,705,9
413,268,75,10
413,68,275,11
413,608,275,12
403,618,275,13
430,618,275,14
438,610,275,15
438,615,270,16
438,615,207,17
438,605,217,18
408,635,217,19
480,635,217,20
485,630,217,21
485,603,217,22
123,456,780,0
123,456,708,1
123,406,758,2
123,46,758,3
123,746,58,4
123,746,508,5
123,746,580,6
123,740,586,7
123,704,586,8
123,74,586,9
23,174,586,10
203,174,586,11
273,104,586,12
273,140,586,13
270,143,586,14
207,143,586,15
247,103,586,16
247,183,506,17
247,183,560,18
247,180,563,19
247,108,563,20
247,18,563,21
247,518,63,22
247,518,603,23
247,508,613,24
207,548,613,25
270,548,613,26
123,456,780,0
123,456,708,1
123,406,758,2
123,460,758,3
120,463,758,4
102,463,758,5
12,463,758,6
412,63,758,7
412,603,758,8
412,630,758,9
412,638,750,10
412,638,705,11
412,638,75,12
412,38,675,13
412,308,675,14
412,378,605,15
412,378,65,16
123,456,780,0
123,456,708,1
123,456,78,2
123,56,478,3
23,156,478,4
203,156,478,5
253,106,478,6
253,160,478,7
250,163,478,8
205,163,478,9
25,163,478,10
125,63,478,11
125,603,478,12
105,623,478,13
150,623,478,14
153,620,478,15
153,602,478,16
153,672,408,17
153,672,480,18
153,670,482,19
150,673,482,20
105,673,482,21
15,673,482,22
615,73,482,23
615,703,482,24
615,783,402,25
615,783,42,26
123,456,780,0
123,450,786,1
123,405,786,2
103,425,786,3
13,425,786,4
413,25,786,5
413,205,786,6
123,456,780,0
123,456,708,1
123,456,78,2
123,56,478,3
23,156,478,4
203,156,478,5
253,106,478,6
253,176,408,7
253,176,480,8
253,170,486,9
253,107,486,10
253,187,406,11
253,187,46,12
253,87,146,13
53,287,146,14
503,287,146,15
530,287,146,16
537,280,146,17
537,208,146,18
537,28,146,19
37,528,146,20
307,528,146,21
327,508,146,22
123,456,780,0
123,450,786,1
123,405,786,2
103,425,786,3
130,425,786,4
135,420,786,5
135,426,780,6
135,426,708,7
135,406,728,8
105,436,728,9
150,436,728,10
156,430,728,11
156,438,720,12
156,438,702,13
156,438,72,14
156,38,472,15
156,308,472,16
156,378,402,17
156,378,42,18
156,78,342,19
56,178,342,20
506,178,342,21
576,108,342,22
576,18,342,23
76,518,342,24
123,456,780,0
123,450,786,1
120,453,786,2
102,453,786,3
152,403,786,4
152,483,706,5
152,483,760,6
152,480,763,7
152,408,763,8
152,48,763,9
52,148,763,10
502,148,763,11
520,148,763,12
528,140,763,13
528,143,760,14
528,143,706,15
528,103,746,16
528,13,746,17
528,713,46,18
528,713,406,19
528,703,416,20
508,723,416,21
58,723,416,22
758,23,416,23
758,423,16,24
123,456,780,0
123,456,708,1
123,406,758,2
123,460,758,3
120,463,758,4
102,463,758,5
12,463,758,6
412,63,758,7
412,603,758,8
412,653,708,9
412,653,78,10
412,53,678,11
412,503,678,12
412,530,678,13
412,538,670,14
412,538,607,15
412,508,637,16
402,518,637,17
420,518,637,18
428,510,637,19
428,501,637,20
428,51,637,21
428,651,37,22
123,456,780,0
123,450,786,1
120,453,786,2
102,453,786,3
152,403,786,4
152,483,706,5
152,483,760,6
152,480,763,7
150,482,763,8
105,482,763,9
185,402,763,10
185,42,763,11
185,742,63,12
185,742,603,13
185,702,643,14
185,720,643,15
185,723,640,16
185,723,604,17
185,703,624,18
185,73,624,19
85,173,624,20
805,173,624,21
875,103,624,22
875,130,624,23
870,135,624,24
123,456,780,0
123,456,708,1
123,456,78,2
123,56,478,3
123,506,478,4
103,526,478,5
130,526,478,6
136,520,478,7
136,528,470,8
136,528,407,9
136,528,47,10
136,28,547,11
136,208,547,12
136,280,547,13
136,287,540,14
136,287,504,15
136,287,54,16
136,87,254,17
136,807,254,18
106,837,254,19
160,837,254,20
167,830,254,21
167,834,250,22
167,834,205,23
167,834,25,24
123,456,780,0
123,450,786,1
123,405,786,2
103,425,786,3
13,425,786,4
413,25,786,5
413,205,786,6
403,215,786,7
430,215,786,8
435,210,786,9
435,216,780,10
435,216,708,11
435,216,78,12
435,16,278,13
435,106,278,14
435,160,278,15
435,168,270,16
435,168,207,17
435,108,267,18
123,456,780,0
123,450,786,1
120,453,786,2
102,453,786,3
152,403,786,4
152,430,786,5
150,432,786,6
105,432,786,7
15,432,786,8
415,32,786,9
415,732,86,10
415,732,806,11
415,702,836,12
405,712,836,13
45,712,836,14
745,12,836,15
745,812,36,16
745,812,306,17
745,812,360,18
745,810,362,19
745,801,362,20
705,841,362,21
75,841,362,22
875,41,362,23
875,341,62,24
123,456,780,0
123,456,708,1
123,456,78,2
123,56,478,3
123,506,478,4
123,560,478,5
120,563,478,6
102,563,478,7
12,563,478,8
512,63,478,9
512,603,478,10
512,630,478,11
510,632,478,12
501,632,478,13
531,602,478,14
531,672,408,15
531,672,480,16
123,456,780,0
123,450,786,1
123,405,786,2
103,425,786,3
130,425,786,4
135,420,786,5
135,426,780,6
135,426,708,7
135,406,728,8
135,46,728,9
35,146,728,10
305,146,728,11
345,106,728,12
345,160,728,13
345,168,720,14
345,168,702,15
345,168,72,16
345,68,172,17
345,608,172,18
345,678,102,19
345,678,120,20
345,670,128,21
340,675,128,22
123,456,780,0
123,456,708,1
123,406,758,2
103,426,758,3
13,426,758,4
413,26,758,5
413,206,758,6
403,216,758,7
430,216,758,8
436,210,758,9
436,218,750,10
436,218,705,11
436,218,75,12
436,18,275,13
436,108,275,14
406,138,275,15
46,138,275,16
146,38,275,17
146,308,275,18
146,378,205,19
146,378,250,20
146,370,258,21
140,376,258,22
104,376,258,23
174,306,258,24
174,360,258,25
174,368,250,26
123,456,780,0
123,456,708,1
123,406,758,2
103,426,758,3
13,426,758,4
413,26,758,5
413,206,758,6
413,260,758,7
410,263,758,8
401,263,758,9
41,263,758,10
241,63,758,11
241,603,758,12
241,630,758,13
241,638,750,14
241,638,705,15
241,638,75,16
241,38,675,17
241,308,675,18
241,380,675,19
241,385,670,20
241,385,607,21
241,305,687,22
201,345,687,23
210,345,687,24
215,340,687,25
215,304,687,26
123,456,780,0
123,456,708,1
123,456,78,2
123,56,478,3
23,156,478,4
203,156,478,5
230,156,478,6
236,150,478,7
236,105,478,8
236,175,408,9
236,175,480,10
236,170,485,11
236,107,485,12
236,17,485,13
236,417,85,14
236,417,805,15
236,417,850,16
236,410,857,17
236,401,857,18
123,456,780,0
123,456,708,1
123,406,758,2
103,426,758,3
130,426,758,4
136,420,758,5
136,428,750,6
136,428,705,7
136,408,725,8
136,48,725,9
36,148,725,10
306,148,725,11
346,108,725,12
346,180,725,13
340,186,725,14
304,186,725,15
34,186,725,16
123,456,780,0
123,456,708,1
123,456,78,2
123,56,478,3
23,156,478,4
203,156,478,5
230,156,478,6
236,150,478,7
236,105,478,8
236,175,408,9
236,175,48,10
236,75,148,11
36,275,148,12
306,275,148,13
376,205,148,14
376,245,108,15
376,245,18,16
376,45,218,17
376,405,218,18
376,415,208,19
376,415,280,20
376,410,285,21
376,401,285,22
376,41,285,23
76,341,285,24
123,456,780,0
123,450,786,1
123,405,786,2
103,425,786,3
130,425,786,4
135,420,786,5
135,426,780,6
135,426,708,7
135,406,728,8
105,436,728,9
15,436,728,10
415,36,728,11
415,306,728,12
415,360,728,13
415,368,720,14
415,368,702,15
415,368,72,16
415,68,372,17
415,608,372,18
405,618,372,19
450,618,372,20
123,456,780,0
123,450,786,1
123,405,786,2
123,485,706,3
123,485,76,4
123,85,476,5
123,805,476,6
123,850,476,7
123,856,470,8
123,856,407,9
123,806,457,10
123,860,457,11
120,863,457,12
102,863,457,13
12,863,457,14
812,63,457,15
812,603,457,16
812,653,407,17
812,653,470,18
123,456,780,0
123,456,708,1
123,456,78,2
123,56,478,3
123,506,478,4
